"Product.Key","Product.VLongDescription"
1,"Commercial Chrome Drying Rack 24' chrm w/blk fit  drying rack Drying Racks Drying racks indoor Chrome plated steel  A"
2,"Slim Com Chrome Drying Rack 18' chrm w/blk fit  drying rack Drying Racks Drying racks indoor Chrome plated steel  D"
3,"Adj Ht Dbl Flared Garment Rack chrm+blk w/casters 2bars 34.45 in L x 22.05 in W x 41.34-68.50 in H (87.5 cm L x 56 cm W x 105-174 cm H) chrome + black tubes 4 black casters(2 locking) Steel tubes: 31.75+28.57mm+19mm diam  1 piece per color box: 38x9x2.9""(96.5x22.8x7cm)   3 box/carton master: 38.8x9.4x9.4""(98.5x23.9x23.9cm)  Artwork Version:  110624  IS Version:  110809  * NEED 2 locking casters garment rack Garment Rack  Black  B"
4,"Adjustable Height Garment Rack chrm+blk w/casters 1bar Product Dimensions: 33.11 in L x 16.7 in W x 40.2-65.75 in H /84.1 cm L x 42.4 cm W x 101.2-167 cm H 3.8lbs/1.72kgs    Color: chrome  Materials of Construction:  Steel tubes: 25.4cm +22.22cm +19mm diam  4 blk casters (2 lk)  A tube( chrome plated)—hanger bar Φ25.4mm x 840mm( L ) ---1pc  B tube( black powder coating)—Support bar Φ25.4 mm x860 mm ( L ) ----2pcs  C tube ( chrome plated)—top upright Φ 22 mm x 780 mm ( L ) ---2pcs  tube ( black powder coating)----base bars          Φ19mm x 780mm ( L ) ----2pcs  E  base units ( plastic)---2 pcs  F connectors ( plastic)—2pcs  G. upright connectors ( plastic) –2pcs    PACKAGING  1 pcs/retail unit: 6.5 in L x 2.68 in W x 34.25 in H (16.5 cm L x 6.8 cm W x 87 cm H) 4.39lbs/1.99kgs UPC 811434011223  Retail Packaging: Color box  Assembly is required. All components must be marked with removable labels that match the component letter on the HCD instruction sheet.  3 pcs/20-level Box: 35.2 in L x 8.58 in W x 7.40 in H (89.4 cm L x 21.8 cm W x 18.8 cm H) 14.7lbs/6.668kgs GTIN 20811434011227 GTIN label required  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+5/-0%).  - Must pass ISTA-1A carton drop test for master  - Must pass load test 100lbs for 1 minute 50lbs for 24hrs  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65  - Additional product testing required:   - Operation: Roll over various surfaces for a total distance of 1 mile no loosening of components or other failure  - Tilt Resistance (loaded): Does not tip on a 8 degree incline in the direction of least stability loaded to claimed load (or 25 lbs)  - Tilt Resistance (unloaded): Does not tip on a 8 degree incline in the direction of least stability unloaded  - Roller Performance: When loaded at 1.5 max load (or 50 lbs) test for 4000 yds backwards and forwards on concrete carpeted surfaces and bare wood. Note ease of use (any slippage or difficulties handling)  					  					  					  					  					   garment rack Garment Rack  Black  B"
5,"Expandable Garment Rack adj ht-exp chrm+blk w/casters 33.07-52.99 in L x 16.93 in W x 39.76-66.14 in H   (84-134.6 cm L x 43 cm W x 101-168 cm H) chrome+black tubes 4 black casters (2 lk) Steel tubes: 31.75mm + 28.57mm + 19mm diam 1pc color box: 4.8L x3.5W x34.1 H"" (12.2L x9W x86.7H cm) master: 35.8x5.5x10.9""(91x14x27.7cm)  This garment rack is rated at 50 lbs evenly distributed. garment rack Garment Rack  Black  A"
6,"Top Shelf Garment Rack chrm+blk w/ casters top shelf Product Dimensions: 26.42 in L x 18.31 in W x 42-67.91 in H (67.1 cm L x 46.5 cm W x 106.68-172.5 cm H) 7.5lbs/3.4kgs  Color: chrome  Materials of Construction:    chrome+black tubes chrome wire shelf: 16.5x22"" 4 blk casters (2 locking) Steel tubes: 25.4mm + 19mm dia.  Adjustable height    PACKAGING  1 pcs/retail unit: 16.75 in L x 2 in W x 34.25 in H (42.5 cm L x 5.1 cm W x 87 cm H) UPC 811434011735  Retail Packaging: 5-Ply color box must be securely glued no tape  3 pcs/20-level Box: 35 in L x 7.25 in W x 17.5 in H (88.9 cm L x 18.4 cm W x 44.5 cm H) 22.25lbs/10.093kgs GTIN 20811434011739  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard B/C Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-1A carton drop test  - Must pass Load Testing: 100lbs for 1 minute and 50lbs for 24 hours without failure or degradation.   garment rack Garment Rack  Black  D"
7,"Chrome Double Folding Hamper chrm x-frame w/1TC bag 2 comp 28x16.6""x20.75""(71x42.2x52.7cm)  x-frame chrm steel tubes: 15.9+12.7mm diam  1bag w/2 compartments w/cover white bleached TC 60gm removable bag with hook and loop connector  ; 1pc color box: 34.3x3.8x3.3"" (87.1x9.6x8.4cm) 3 box/carton master: 35x4.2x 10.5"" (88.9x10.7x26.7cm) hamper Hamper  White  C"
8,"Chrome Folding Hamper chrm x-frame w/1TC bag 28""h x 14"" w x 15.5"" d ( 72cm x 35cm x 39cm ) 2 lbs 11 oz   x-frame chrome steel tubes:15.9+12.7mm diam  1bag w/cover white bleach TC 60gm removable bag w/ hook and loop connection  1box size: 31.25"" h x 4.75"" w x 1.75"" d 3-per master. 31.75"" x 5.25"" w x 6"" d hamper Hamper  White  C"
9,"Chrome Triple X-Frame Hamper chrm x-frame w/1TC bag 3 comp  sorter Hamper  White  C"
10,"Chrome Expandable Shoe Rack 2-tier expand chrm shoe rack 24.4""-45.25"" Wide x 9"" d x 14"" h chrome plated Steel sides  4-extendable chrome plated steel rods   Easy assembly no tools required.  8-steel thumb screws protective caps on top and bottom  1pc/color box 24.x9.8x1.25"" 6/carton master size: 24.75""dx11"" h x 9""w  Stackable shoe rack Shoe Rack  Chrome plated steel  B"
